Episode,Score,Epsilon,Steps,Time
0,-11.280000000000001,1,328,4.83
1,-13.919999999999996,0.99,206,2.08
2,-13.880000000000022,0.9801,274,5.80
3,-11.510000000000002,0.9702989999999999,351,9.72
4,-10.830000000000009,0.96059601,400,13.51
5,-9.489999999999998,0.9509900498999999,419,13.58
6,-12.360000000000014,0.9414801494009999,296,8.03
7,-10.35000000000002,0.9320653479069899,393,10.57
8,5.219999999999952,0.92274469442792,583,26.95
9,-15.420000000000002,0.9135172474836407,251,7.44
10,-10.829999999999998,0.9043820750088043,666,26.51
11,-12.969999999999997,0.8953382542587163,290,8.61
12,-13.380000000000006,0.8863848717161291,184,5.48
13,-8.759999999999998,0.8775210229989678,353,10.51
14,-12.420000000000003,0.8687458127689781,188,5.22
15,-9.77,0.8600583546412883,424,12.35
16,-10.580000000000002,0.8514577710948754,291,8.49
17,-10.349999999999998,0.8429431933839266,351,9.77
18,-11.300000000000004,0.8345137614500874,293,8.09
19,-12.360000000000003,0.8261686238355865,277,8.04
20,-11.469999999999999,0.8179069375972307,280,7.80
21,-4.119999999999997,0.8097278682212583,704,27.82
22,-12.940000000000003,0.8016305895390458,312,9.03
23,-9.45,0.7936142836436553,263,8.12
24,-8.86,0.7856781408072188,325,9.87
25,-10.650000000000004,0.7778213593991465,310,9.12
26,-5.059999999999997,0.7700431458051551,339,10.37
27,-11.920000000000003,0.7623427143471035,218,6.41
28,-11.920000000000028,0.7547192872036325,281,8.01
29,-8.809999999999995,0.7471720943315961,297,9.06
30,-11.690000000000003,0.7397003733882802,269,8.11
31,-7.779999999999998,0.7323033696543974,419,11.71
32,-8.359999999999996,0.7249803359578534,351,9.95
33,-10.270000000000001,0.7177305325982748,274,7.79
34,-10.510000000000002,0.7105532272722921,263,8.06
35,-7.519999999999998,0.7034476949995692,457,12.46
36,-12.110000000000003,0.6964132180495735,201,5.55
37,-8.48,0.6894490858690777,422,11.93
38,-7.889999999999999,0.682554595010387,336,9.58
39,-6.8799999999999955,0.6757290490602831,437,12.35
40,-10.579999999999998,0.6689717585696803,287,8.68
41,-11.469999999999997,0.6622820409839835,244,7.06
42,-4.789999999999998,0.6556592205741436,374,11.58
43,-10.70000000000001,0.6491026283684022,322,9.59
44,-10.100000000000009,0.6426116020847181,240,7.56
45,-7.769999999999996,0.6361854860638709,449,12.62
46,-10.690000000000001,0.6298236312032323,270,7.73
47,-3.7499999999999947,0.6235253948912,465,13.36
48,-11.150000000000004,0.617290140942288,363,10.57
49,-3.9399999999999955,0.6111172395328651,469,13.16
50,-9.129999999999999,0.6050060671375365,379,11.09
51,-6.779999999999998,0.5989560064661611,478,13.65
52,-9.24,0.5929664464014994,318,9.36
53,-10.290000000000006,0.5870367819374844,248,7.51
54,-8.669999999999998,0.5811664141181095,282,8.51
55,-7.6699999999999955,0.5753547499769285,349,10.32
56,-3.999999999999994,0.5696012024771592,362,10.88
57,-9.999999999999998,0.5639051904523876,234,6.73
58,-9.319999999999999,0.5582661385478638,261,7.13
59,-5.239999999999998,0.5526834771623851,563,16.04
60,-9.710000000000008,0.5471566423907612,282,8.35
61,-4.929999999999996,0.5416850759668536,506,14.33
62,-6.959999999999999,0.536268225207185,312,9.16
63,-7.479999999999997,0.5309055429551132,390,11.29
64,-10.720000000000006,0.525596487525562,240,7.38
65,-9.049999999999999,0.5203405226503064,253,7.52
66,-7.389999999999995,0.5151371174238033,287,8.53
67,-10.080000000000007,0.5099857462495653,254,7.88
68,-4.529999999999994,0.5048858887870696,381,11.24
69,-3.2799999999999963,0.4998370298991989,367,11.14
70,-6.379999999999998,0.49483865960020695,339,9.70
71,-9.159999999999998,0.4898902730042049,259,7.49
72,-2.169999999999996,0.48499137027416284,449,12.90
73,-4.239999999999998,0.4801414565714212,381,11.25
74,12.019999999999907,0.475340042005707,659,29.83
75,-4.909999999999998,0.47058664158564995,351,10.57
76,-6.459999999999999,0.4658807751697934,292,8.92
77,-7.459999999999997,0.4612219674180955,344,9.80
78,11.489999999999783,0.45660974774391455,719,27.88
79,3.7599999999999354,0.4520436502664754,524,23.88
80,-2.349999999999995,0.44752321376381066,421,12.45
81,-7.779999999999996,0.44304798162617254,305,9.34
82,-9.729999999999999,0.4386175018099108,303,8.97
83,-6.979999999999998,0.4342313267918117,350,10.30
84,14.129999999999798,0.4298890135238936,753,32.63
85,-5.3699999999999966,0.42559012338865465,319,10.12
86,-7.749999999999997,0.4213342221547681,236,7.70
87,-6.889999999999997,0.41712087993322045,257,7.89
88,-5.1999999999999975,0.41294967113388825,320,10.01
89,-7.229999999999995,0.40882017442254937,306,9.22
90,-8.059999999999999,0.4047319726783239,276,8.08
91,-8.169999999999998,0.40068465295154065,267,8.08
92,-8.409999999999997,0.39667780642202527,272,8.68
93,-8.809999999999995,0.392711028357805,274,8.45
94,-11.350000000000009,0.38878391807422696,165,5.55
95,-6.179999999999998,0.3848960788934847,332,9.77
96,-9.1,0.38104711810454983,265,7.58
97,1.6999999999998217,0.37723664692350434,743,20.94
98,-6.369999999999999,0.37346428045426927,313,9.69
99,-3.8599999999999968,0.36972963764972655,337,10.48
100,-6.679999999999998,0.36603234127322926,298,9.10
101,-1.4699999999999915,0.36237201786049694,487,14.18
102,-4.909999999999997,0.358748297681892,387,11.23
103,-6.6699999999999955,0.35516081470507305,272,8.82
104,-2.9799999999999924,0.3516092065580223,446,13.61
105,-9.309999999999999,0.34809311449244207,219,7.17
106,-8.779999999999998,0.34461218334751764,296,8.72
107,-2.9899999999999953,0.34116606151404244,446,13.20
108,-6.489999999999993,0.337754400898902,302,9.06
109,-4.819999999999997,0.334376856889913,298,8.52
110,-2.1999999999999966,0.33103308832101386,403,12.12
111,15.619999999999873,0.3277227574378037,769,34.42
112,9.44999999999983,0.3244455298634257,640,26.87
113,-6.989999999999995,0.3212010745647914,353,10.26
114,-3.0399999999999974,0.3179890638191435,367,10.73
115,-7.019999999999995,0.31480917318095203,300,8.91
116,3.1700000000000097,0.3116610814491425,529,15.16
117,-8.629999999999999,0.30854447063465107,223,7.18
118,-6.349999999999998,0.30545902592830454,255,7.85
119,-8.31000000000001,0.3024044356690215,239,7.06
120,-9.889999999999999,0.29938039131233124,191,5.98
121,-6.919999999999998,0.2963865873992079,300,8.94
122,-4.489999999999994,0.29342272152521587,344,10.36
123,-5.149999999999999,0.2904884943099637,351,10.60
124,-6.119999999999997,0.28758360936686406,247,7.94
125,-4.069999999999994,0.2847077732731954,372,11.56
126,-8.08,0.28186069554046345,208,6.63
127,-7.149999999999999,0.2790420885850588,279,9.00
128,0.9300000000000082,0.2762516676992082,417,12.32
129,-2.8099999999999956,0.27348915102221616,387,11.44
130,-6.229999999999996,0.270754259511994,287,8.66
131,-9.139999999999999,0.26804671691687404,199,6.44
132,-6.059999999999997,0.2653662497477053,266,8.34
133,-7.989999999999999,0.2627125872502282,236,7.37
134,-3.5299999999999923,0.2600854613777259,379,11.28
135,-0.4499999999999993,0.2574846067639487,415,13.15
136,-9.5,0.2549097606963092,193,6.39
137,-4.449999999999994,0.2523606630893461,343,10.05
138,-9.94,0.24983705645845267,166,5.19
139,-2.9699999999999944,0.24733868589386815,507,14.89
140,-6.529999999999996,0.24486529903492946,242,7.56
141,-5.4499999999999975,0.24241664604458016,270,8.50
142,-5.989999999999995,0.23999247958413436,374,11.04
143,-3.139999999999995,0.23759255478829303,421,12.71
144,-8.799999999999999,0.2352166292404101,228,7.10
145,-4.649999999999997,0.232864462948006,330,9.72
146,0.9900000000000069,0.23053581831852593,444,12.90
147,-5.579999999999996,0.22823046013534068,347,10.85
148,-6.689999999999996,0.22594815553398728,272,8.24
149,-7.259999999999995,0.22368867397864742,273,8.37
150,-3.939999999999995,0.22145178723886094,296,9.02
151,-3.799999999999994,0.21923726936647234,367,10.31
152,-5.0099999999999945,0.2170448966728076,321,9.64
153,-2.0099999999999927,0.21487444770607952,403,11.80
154,-6.239999999999997,0.21272570322901874,252,8.01
155,-7.399999999999997,0.21059844619672854,245,7.53
156,4.09999999999997,0.20849246173476127,531,16.13
157,-8.019999999999998,0.20640753711741366,204,6.22
158,-2.6199999999999948,0.20434346174623952,357,10.61
159,-1.8799999999999917,0.20230002712877712,411,12.39
160,-4.149999999999995,0.20027702685748935,438,12.99
161,-7.649999999999995,0.19827425658891445,237,7.79
162,-7.439999999999998,0.1962915140230253,224,6.75
163,-7.839999999999996,0.19432859888279505,217,6.30
164,-8.399999999999997,0.1923853128939671,267,8.44
165,-5.6699999999999955,0.19046145976502743,302,8.85
166,-5.649999999999995,0.18855684516737714,280,8.42
167,-3.9199999999999946,0.18667127671570335,413,12.30
168,-6.039999999999995,0.18480456394854633,280,8.75
169,-2.2099999999999964,0.18295651830906087,325,10.11
170,-2.2899999999999934,0.18112695312597027,398,12.26
171,-2.569999999999993,0.17931568359471056,360,11.01
172,-5.699999999999996,0.17752252675876345,282,8.74
